,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
1,0,0.0,0,0.0,64.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
4,0,0.0,0,0.0,627.5,0.02,0.0,0.0,Other,3,1,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
5,0,0.0,0,0.0,154.2166667,0.015789474,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
8,0,0.0,0,0.0,37.0,0.0,0.0,0.8,2,2,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
9,0,0.0,0,0.0,738.0,0.0,0.0,0.4,2,4,1,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
10,0,0.0,0,0.0,395.0,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
11,0,0.0,0,0.0,407.75,0.01875,0.0,0.4,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
12,0,0.0,0,0.0,280.5,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
13,0,0.0,0,0.0,98.0,0.0,0.0,0.0,2,5,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
14,0,0.0,0,0.0,68.0,0.0,0.0,0.0,Other,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
15,2,53.0,0,0.0,1668.285119,0.008333333,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
17,0,0.0,0,0.0,334.9666667,0.0,0.0,0.0,Other,1,1,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
18,0,0.0,0,0.0,32.0,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
19,0,0.0,0,0.0,2981.166667,0.0,0.0,0.0,2,4,Other,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
20,0,0.0,0,0.0,136.1666667,0.0,0.0,1.0,2,2,Other,1,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
22,0,0.0,0,0.0,105.0,0.0,0.0,0.0,Other,2,1,5,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
