"","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated_Duration","BounceRates","PageValues","SpecialDay","Browser","TrafficType","Month_Dec","Month_Feb","Month_Jul","Month_June","Month_Mar","Month_May","Month_Nov","Month_Oct","Month_Sep","OperatingSystems_Other","Region_1","Region_3","VisitorType_Other","Weekend_True","Revenue_True"
"8103",0,0,0,0,902.6527778,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"0"
"6632",0,0,0,0,877.9166667,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"0"
"2455",0,0,0,0,418.3333333,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"7808",0,0,0,0,205.7,0,18.85086521,0,1,8,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"1"
"8971",5,157.5,0,0,138.75,0.0125,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,"0"
"9064",0,0,0,0,1352,0.022222222,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"3060",0,0,0,0,1562.866667,0.017721519,0,0.8,2,13,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"83",0,0,0,0,577,0.018181818,0,0.2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0"
"5935",1,74.6,0,0,810,0,10.67716934,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"6949",0,0,0,0,668,0,0,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"6765",7,111,2,5,5396.264881,0.003928571,7.513426372,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1"
"7244",3,103.0833333,2,39.25,1406.95,0.01533101,5.606382766,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"886",1,4,0,0,1096.75,0,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"5085",0,0,0,0,3371.05,0.003773585,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0"
"8620",4,76.25,0,0,3274.521154,0,6.425757643,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"4101",0,0,0,0,1417.666667,0.016117216,0,1,6,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"0"
"8080",1,5,0,0,3441.439286,0.007142857,0,0,2,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
"1839",2,39.5,1,161,1406.209524,0.010810811,23.60518919,0.2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1"
"1866",0,0,0,0,2215.866667,0.001041667,0,0,1,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"537",0,0,0,0,22,0,0,0,1,15,0,0,0,0,1,0,0,0,0,1,0,1,0,1,"0"
"3696",0,0,0,0,161,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"8734",1,6,0,0,293,0.021428571,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"5556",5,109.6,1,3,1980.266667,0.006060606,0,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1"
"573",2,123,0,0,873,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0"
"1319",6,99,1,1,637,0,0,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"0"
"3064",0,0,0,0,1230.368182,0.004347826,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"6167",0,0,0,0,478.5,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,"0"
"4447",4,96.8,1,535,1888.2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"5507",5,106.8,0,0,470.8666667,0.027272727,0,0,2,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"0"
"3192",0,0,0,0,350.8333333,0,0,0.6,2,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"8941",0,0,0,0,935.9,0.004347826,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"0"
"6722",0,0,0,0,95,0.025,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"7645",0,0,0,0,799.375,0.007407407,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"0"
"7644",1,4,0,0,492.25,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"0"
"8211",0,0,0,0,460.8333333,0.027272727,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"0"
"2412",0,0,0,0,138.5,0.022222222,0,0.6,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"5652",4,47.8,0,0,183,0.018181818,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"0"
"8823",0,0,0,0,1195.375,0.004210526,0,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"4572",0,0,0,0,1028.566667,0.0125,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"0"
"3242",0,0,1,26,3540.239394,0.001960784,2.172431373,0.8,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"1"
"7414",5,152.5,0,0,291.1666667,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,"0"
"3456",0,0,0,0,831.6083333,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"2397",0,0,0,0,324,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"0"
"1275",1,41,0,0,1087.25,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"6955",3,57,0,0,3556.516667,0,26.98362279,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
"3295",0,0,0,0,947,0.01,55.8486,0,2,5,0,0,0,0,0,1,0,0,0,0,1,0,1,1,"1"
"2141",0,0,0,0,1035.935714,0.037894737,0,0.2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"6504",0,0,0,0,135.75,0.04,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"0"
"8994",0,0,0,0,513.25,0,0,0,2,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"1578",1,14,0,0,909.5,0,0,0,1,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"1130",0,0,0,0,1028.116667,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0"
"549",0,0,0,0,40,0,0,0,2,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"2598",1,29,0,0,381.3571429,0,0,0.8,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"0"
"2356",2,10.66666667,0,0,541.5,0.017142857,0,0,2,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"9325",0,0,0,0,541.9166667,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,"0"
"9099",0,0,0,0,901.2888889,0,34.14841957,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
"557",1,43,0,0,1223.347222,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"0"
"752",0,0,0,0,392.1428571,0.00625,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"5285",1,0,1,34.2,3051.525518,0.000714286,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0"
"9366",0,0,0,0,205.5,0,0,0,2,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"4624",4,69.23333333,3,1657.3,2306.047619,0.046666667,5.761347436,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"0"
"6335",0,0,1,14,7181.877778,0.008843537,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"4045",0,0,0,0,63,0.028571429,0,0.6,2,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"0"
"565",0,0,0,0,450,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"0"
"4881",1,10,0,0,271.5785714,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"8056",0,0,0,0,381.2142857,0.0125,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"0"
